Site_ID,Data_set_ID,UWI,NAD83_Lat,NAD83_Long,Date_samp,Grnd_elev,KB_elev,Top_rel_sea,Bot_rel_sea,Top_rel_dep,Bot_rel_dep,Culled,Cat_an_bal,Lithium,Form_name
108791,AGSWDB,00/11-25-074-20W4-0,55.439617,-112.946635,n/a,643.4,647.7,193.5,188.1,454.2,459.6,Yes,0.092918,2,Mannville Group
108870,AGSWDB,00/10-34-074-01W5-0,55.45418,-114.061307,n/a,721.8,725.1,88.7,85.3,636.4,639.8,Yes,0.046166,4.6,Mannville Group
109,ARC,02/11-17-001-08W4-0,49.05893,-110.187122,22-Jun-77,859.8,n/a,561.1,555,298.7,304.8,No,-0.021033,0.204,Lea Park Formation
109007,AGSWDB,00/04-28-074-02W6-0,55.433365,-118.254909,n/a,633.7,637.9,-2032.1,-2048.9,2670,2686.8,No,-0.063851,115,Wabamun Group
109009,AGSWDB,00/11-07-074-03W6-0,55.399019,-118.452805,n/a,683.1,687.4,-653.7,-659.8,1341.1,1347.2,Yes,0.056802,4.8,Mannville Group
109010,AGSWDB,00/06-08-074-03W6-0,55.393266,-118.428044,n/a,680,684.3,-2174.7,-2182.3,2859,2866.6,No,0.008575,39,Wabamun Group
109033,AGSWDB,00/06-22-074-06W6-0,55.422308,-118.839128,n/a,781.8,784.9,-885.4,-895.5,1670.3,1680.4,Yes,-0.002851,6.4,Mannville Group
109062,AGSWDB,00/07-26-074-08W6-0,55.437523,-119.111782,n/a,769,769,-1460,-1471.3,2229,2240.3,Yes,n/a,21,Permian-Pennsylvanian system
109062,AGSWDB,00/07-26-074-08W6-0,55.437523,-119.111782,n/a,769,769,-1460,-1471.3,2229,2240.3,Yes,n/a,22,Permian-Pennsylvanian system
109062,AGSWDB,00/07-26-074-08W6-0,55.437523,-119.111782,n/a,769,769,-1087.8,-1092.4,1856.8,1861.4,Yes,n/a,4,Triassic system
109317,AGSWDB,00/07-17-075-16W4-0,55.494557,-112.446037,n/a,686.1,688.5,150.8,135.6,537.7,552.9,Yes,0.041481,5,Woodbend Group
109355,AGSWDB,00/07-36-075-23W4-0,55.538642,-113.430131,n/a,678.2,681.5,82.3,77.1,599.2,604.4,Yes,0.053652,3.7,Wabamun Group
109373,AGSWDB,00/03-23-075-25W4-0,55.506507,-113.774868,n/a,723.3,727.3,96.4,93.9,630.9,633.4,Yes,-0.001882,0.3,Wabiskaw Member
109374,AGSWDB,00/03-25-075-25W4-0,55.521173,-113.747173,n/a,785.2,788.5,104.5,100.3,684,688.2,Yes,0.029891,1.5,Mannville Group
109442,AGSWDB,00/15-16-075-19W5-0,55.5032,-116.882139,n/a,634.3,637.9,-1745.3,-1749,2383.2,2386.9,Yes,-0.001612,30,Elk Point Group
109456,AGSWDB,00/06-22-075-22W5-0,55.508901,-117.331134,n/a,568.8,573,-9.2,-21.4,582.2,594.4,Yes,0.026304,2,Viking Formation
109456,AGSWDB,00/06-22-075-22W5-0,55.508901,-117.331134,n/a,568.8,573,-378,-387.1,951,960.1,Yes,0.090115,3.5,Mannville Group
109988,AGSWDB,00/10-06-076-20W4-0,55.558407,-113.093064,n/a,640.7,643.1,117.3,94.5,525.8,548.6,Yes,0.039632,3,Winterburn Group
110,ARC,02/11-17-001-08W4-2,49.055682,-112.596293,28-Jun-77,1204.3,n/a,1180.8,1174.7,23.5,29.6,No,0.001962,<0.1,n/a
110015,AGSWDB,00/11-08-076-25W4-0,55.571699,-113.851616,n/a,774.5,777.8,125.5,123.1,652.3,654.7,Yes,0.005554,0.9,Wabiskaw Member
110015,AGSWDB,00/11-08-076-25W4-0,55.571699,-113.851616,n/a,774.5,777.8,116.4,93.5,661.4,684.3,Yes,-0.048499,1.6,McMurray Formation
110064,AGSWDB,00/11-33-076-04W5-0,55.630409,-114.560997,n/a,741.6,745.5,93.2,87.1,652.3,658.4,Yes,0.038183,2.5,Mannville Group
110074,AGSWDB,00/13-19-076-07W5-0,55.603083,-115.083839,n/a,733.7,737.3,-1095.2,-1135.7,1832.5,1873,Yes,-0.034722,73,Elk Point Group
110084,AGSWDB,00/08-27-076-08W5-0,55.611848,-115.145462,n/a,677,681.2,-1106.8,-1129.3,1788,1810.5,Yes,0.004239,98,n/a
110143,AGSWDB,00/06-36-076-21W5-0,55.625261,-117.124663,n/a,600.8,603.8,103.9,97.8,499.9,506,Yes,0.042008,3,Viking Formation
110451,AGSWDB,00/06-03-077-22W4-0,55.639935,-113.335679,n/a,757.1,760.5,138.1,134.4,622.4,626.1,Yes,0.128118,2.6,n/a
110689,AGSWDB,00/09-35-077-25W5-0,55.718267,-117.75601,n/a,566.3,570.6,-456.9,-493.5,1027.5,1064.1,No,0.00903,30,Triassic system
110689,AGSWDB,00/09-35-077-25W5-0,55.718267,-117.75601,n/a,566.3,570.6,-319.4,-323.1,890,893.7,Yes,-0.050701,2.4,Mannville Group
110702,AGSWDB,00/11-28-077-26W5-0,55.703814,-117.975492,n/a,617.8,622.1,-495,-513.3,1117.1,1135.4,No,-0.007284,35,Triassic system
110859,AGSWDB,00/12-24-077-09W6-0,55.68848,-119.264299,n/a,948.2,953.4,-169.5,-186.6,1122.9,1140,Yes,-0.008675,2.8,Viking Formation
110955,AGSWDB,00/07-10-077-12W6-0,55.654669,-119.76707,n/a,794.3,798.3,-268.8,-277.9,1067.1,1076.2,Yes,0.050228,4.9,Viking Formation
111,ARC,00/01-19-001-08W4-0,49.904136,-112.913683,26-Jun-77,950.9,n/a,926.5,920.4,24.4,30.5,No,-0.000521,0.333,n/a
111022,AGSWDB,00/10-09-078-09W4-0,55.746254,-111.335237,n/a,599.8,602.6,308.5,303.9,294.1,298.7,Yes,0.061614,1.2,Mannville Group
111141,AGSWDB,00/11-25-078-03W5-0,55.790449,-114.328781,n/a,649.2,653.2,101.5,89.3,551.7,563.9,Yes,0.050121,2,Mannville Group
111212,AGSWDB,00/10-14-078-09W5-0,55.761731,-115.278076,n/a,648,652,-1096,-1108.2,1748,1760.2,Yes,0.014353,64,Elk Point Group
111217,AGSWDB,00/08-21-078-09W5-0,55.770443,-115.326012,n/a,645.9,649.2,-1121.7,-1143.3,1770.9,1792.5,Yes,0.007273,33,Elk Point Group
111331,AGSWDB,00/07-35-078-24W5-0,55.800535,-117.605451,n/a,472.7,477,-1546.9,-1592.6,2023.9,2069.6,Yes,-0.073097,82,Winterburn Group
