UWI	Licence_no	SH_lat_NAD83	SH_long_NAD83	BH_lat_NAD83	BH_long_NAD83	KB_El_masl28	Total_depth_m	Smpl_date	Smpl_obs_no	Top_MD_m	Base_MD_m	Smpl_point	Date_analyz	H2S_conc	Publisher
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	6/12/2017	1	3119	6192	First Stage Separator	2017-06-19	0.0001	Alberta Geological Survey
103132106304W600	470472	54.472249	-118.529345	54.469264	-118.551485	928.4	4570	5/4/2016	2	3141.1	4555.8	Meter Run	2016-05-12	0.0001	Alberta Geological Survey
103132106304W600	470472	54.472249	-118.529345	54.469264	-118.551485	928.4	4570	10/24/2017	1	3141.1	4555.8	Meter Run	2017-10-30	0	Alberta Geological Survey
103132106304W600	470472	54.472249	-118.529345	54.469264	-118.551485	928.4	4570	8/21/2018	1	3141.1	4555.8	Meter Run	2018-08-31	0.0001	Alberta Geological Survey
103132106304W600	470472	54.472249	-118.529345	54.469264	-118.551485	928.4	4570	9/11/2018	1	3141.1	4555.8	Meter Run	2018-09-18	0	Alberta Geological Survey
103132106304W600	470472	54.472249	-118.529345	54.469264	-118.551485	928.4	4570	8/20/2019	1	3141.1	4555.8	Meter Run	2019-08-24	0	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	12/13/2017	1	3294	6183	First Stage Separator	2017-12-20	0	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	1/15/2018	1	3294	6183	First Stage Separator	2018-01-18	0	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	1/8/2019	1	3210	6209	Meter Run	2019-01-15	0	Alberta Geological Survey
103011306405W600	474598	54.507146	-118.582721	54.531474	-118.607278	941.4	6275	12/13/2017	1	3356	6250	First Stage Separator	2017-12-20	0	Alberta Geological Survey
103011306405W600	474598	54.507146	-118.582721	54.531474	-118.607278	941.4	6275	1/15/2018	1	3356	6250	First Stage Separator	2018-01-18	0	Alberta Geological Survey
